school.id,school.classification,school.province,teacher.student,rooms.student,mooe.student,teacher.mooe,rooms.mooe,Cluster_Labels
101746,Elementary,Pangasinan,39.05,52.06666666666667,436.61971830985914,17050.0,22733.33333333333,0
102193,Elementary,Ilocos Norte,38.75,35.769230769230774,591.3978494623657,22916.66666666667,21153.846153846152,0
101283,Elementary,Pangasinan,29.166666666666664,25.0,754.2857142857142,22000.0,18857.14285714285,0
100216,Elementary,Ilocos Norte,29.83333333333333,29.83333333333333,754.1899441340782,22500.0,22500.0,0
100043,Elementary,Ilocos Norte,33.875,30.11111111111111,671.5867158671588,22750.0,20222.222222222223,0
100554,Elementary,Ilocos Sur,12.666666666666668,7.6,2421.0526315789475,30666.66666666667,18400.0,0
101131,Elementary,Pangasinan,41.0,41.0,601.6260162601627,24666.66666666667,24666.66666666667,0
102252,Elementary,Pangasinan,38.81818181818182,35.583333333333336,515.2224824355972,20000.0,18333.33333333333,0
100307,Elementary,Ilocos Norte,22.83333333333333,22.83333333333333,868.6131386861315,19833.33333333333,19833.33333333333,0
100100,Elementary,Ilocos Norte,32.166666666666664,24.125,782.3834196891191,25166.666666666664,18875.0,0
101531,Elementary,Pangasinan,56.83333333333333,48.714285714285715,519.0615835777127,29500.0,25285.714285714286,0
100217,Elementary,Ilocos Norte,26.33333333333333,26.33333333333333,835.4430379746835,22000.0,22000.0,0
101223,Elementary,Pangasinan,24.333333333333336,24.333333333333336,1136.986301369863,27666.66666666667,27666.66666666667,0
100907,Elementary,La Union,51.0,51.0,627.4509803921569,32000.0,32000.0,0
100139,Elementary,Ilocos Norte,37.333333333333336,28.0,1026.7857142857142,38333.33333333333,28750.000000000004,0
101887,Elementary,Pangasinan,31.777777777777768,95.33333333333331,622.3776223776224,19777.777777777777,59333.33333333334,2
100160,Elementary,Ilocos Norte,37.285714285714285,43.5,586.2068965517243,21857.14285714286,25500.0,0
100700,Elementary,Ilocos Sur,21.666666666666664,32.5,774.3589743589743,16777.777777777777,25166.666666666664,0
100762,Elementary,Ilocos Sur,34.5,34.5,685.9903381642513,23666.66666666667,23666.66666666667,0
100891,Elementary,La Union,39.285714285714285,34.375,600.0,23571.42857142857,20625.0,0
100101,Elementary,Ilocos Norte,35.0,23.33333333333333,1271.4285714285713,44500.0,29666.66666666667,2
102014,Elementary,Pangasinan,37.25,74.5,771.8120805369127,28750.000000000004,57500.00000000001,2
102226,Elementary,Pangasinan,37.25,37.25,511.40939597315435,19050.0,19050.0,0
100161,Elementary,Ilocos Norte,65.0,32.5,1169.2307692307693,76000.0,38000.0,2
101132,Elementary,Pangasinan,40.66666666666666,31.82608695652174,535.5191256830601,21777.777777777777,17043.478260869564,0
102061,Elementary,Pangasinan,36.714285714285715,42.833333333333336,649.8054474708173,23857.142857142862,27833.33333333333,0
100801,Elementary,La Union,39.5,35.67741935483871,501.80831826401453,19821.428571428565,17903.225806451614,0
100809,Elementary,La Union,60.74999999999999,48.6,456.7901234567902,27750.0,22200.0,0
100932,Elementary,La Union,36.0,18.0,990.7407407407408,35666.666666666664,17833.333333333332,0
101149,Elementary,Pangasinan,38.75862068965517,62.444444444444436,476.86832740213515,18482.758620689656,29777.777777777777,0
100325,Elementary,Ilocos Sur,16.0,16.0,3625.0,58000.0,58000.0,1
100970,Elementary,La Union,30.66666666666667,30.66666666666667,690.2173913043479,21166.666666666664,21166.666666666664,0
101532,Elementary,Pangasinan,37.45454545454545,34.333333333333336,570.3883495145632,21363.636363636364,19583.33333333333,0
101166,Elementary,Pangasinan,51.641025641025635,49.121951219512205,445.3823237338629,23000.0,21878.048780487807,0
100495,Elementary,Ilocos Sur,37.0,27.75,873.8738738738739,32333.33333333333,24250.0,0
100044,Elementary,Ilocos Norte,21.0,10.5,2809.523809523809,59000.0,29500.0,1
101694,Elementary,Pangasinan,34.7,38.555555555555564,536.0230547550432,18600.0,20666.666666666668,0
152006,Elementary,Pangasinan,41.0,41.0,731.7073170731708,30000.0,30000.0,0
100308,Elementary,Ilocos Norte,24.666666666666664,24.666666666666664,831.0810810810809,20500.0,20500.0,0
100555,Elementary,Ilocos Sur,23.5,31.333333333333336,946.808510638298,22250.0,29666.66666666667,0
101554,Elementary,Pangasinan,49.30769230769231,53.41666666666666,478.9391575663026,23615.384615384613,25583.33333333333,0
101628,Elementary,Pangasinan,49.2,41.0,593.4959349593496,29200.000000000004,24333.33333333333,0
100858,Elementary,La Union,21.8,21.8,981.651376146789,21400.0,21400.0,0
102015,Elementary,Pangasinan,31.5,31.5,682.5396825396824,21500.0,21500.0,0
100326,Elementary,Ilocos Sur,20.63636363636364,25.222222222222218,859.0308370044052,17727.272727272728,21666.666666666668,0
101261,Elementary,Pangasinan,59.8,29.9,682.2742474916387,40800.0,20400.0,0
101849,Elementary,Pangasinan,35.111111111111114,45.14285714285714,575.9493670886077,20222.222222222223,26000.0,0
102194,Elementary,Ilocos Norte,22.333333333333336,26.8,880.5970149253732,19666.666666666668,23600.0,0
101807,Elementary,Pangasinan,50.90909090909091,43.07692307692307,507.1428571428572,25818.181818181816,21846.153846153848,0
101502,Elementary,Pangasinan,33.285714285714285,33.285714285714285,673.8197424892704,22428.571428571428,22428.571428571428,0
101133,Elementary,Pangasinan,29.0,29.0,1149.425287356322,33333.333333333336,33333.333333333336,0
100425,Elementary,Ilocos Sur,36.33333333333333,36.33333333333333,633.0275229357799,23000.0,23000.0,0
100872,Elementary,La Union,28.71428571428571,33.5,661.6915422885572,19000.0,22166.66666666667,0
